date,count,uniques
2026-04-16,1416,340
2026-04-17,1070,91
2026-04-18,1279,41
2026-04-19,1084,24
2026-04-20,795,57
2026-04-21,1482,118
2026-04-22,2042,260
2026-04-23,2115,214
2026-04-24,1184,269
2026-04-25,499,121
2026-04-26,39,11
2026-04-27,274,55
2026-04-28,883,124
2026-04-29,1276,60
2026-04-30,2223,107
2026-05-01,1123,155
2026-05-02,223,19
2026-05-03,35,17
2026-05-04,1027,98
2026-05-05,1259,91
2026-05-06,485,38
2026-05-07,1326,108
2026-05-08,1691,151
2026-05-09,150,68
2026-05-10,13,9
2026-05-11,96,48
2026-05-12,995,158
2026-05-13,454,153
2026-05-14,274,131
2026-05-15,117,30
2026-05-16,250,93
2026-05-17,109,34
2026-05-18,517,110
2026-05-19,587,138
2026-05-20,532,134
2026-05-21,205,91
2026-05-22,303,92
2026-05-23,91,28
2026-05-24,220,46
2026-05-25,196,47
2026-05-26,191,81
2026-05-27,349,136
2026-05-28,479,176
2026-05-29,297,130
2026-05-30,47,23
2026-05-31,75,18
2026-06-01,345,166
2026-06-02,575,172
2026-06-03,416,189
2026-06-04,296,145
2026-06-05,172,86
2026-06-06,17,13
2026-06-07,156,60
2026-06-08,190,92
2026-06-09,268,130
2026-06-10,267,125
2026-06-11,201,54
2026-06-12,382,120
2026-06-13,199,81
2026-06-14,20,11
2026-06-15,268,125
2026-06-16,20,11
2026-06-17,90,37
2026-06-18,602,136
2026-06-19,435,65
2026-06-20,815,85
2026-06-21,148,52
2026-06-22,174,68
2026-06-23,460,59
2026-06-24,526,123
2026-06-25,913,330
2026-06-26,584,255
2026-06-27,172,62
2026-06-28,110,51
2026-06-29,163,72
