date,count,uniques
2026-04-16,117,6
2026-04-17,38,3
2026-04-18,2,1
2026-04-19,1,1
2026-04-20,11,3
2026-04-21,14,5
2026-04-22,106,4
2026-04-23,71,3
2026-04-24,129,4
2026-04-25,14,1
2026-04-26,4,3
2026-04-27,28,3
2026-04-28,105,7
2026-04-29,43,5
2026-04-30,207,3
2026-05-01,36,5
2026-05-02,2,1
2026-05-03,2,1
2026-05-04,124,7
2026-05-05,20,3
2026-05-06,46,4
2026-05-07,45,4
2026-05-08,75,5
2026-05-09,3,2
2026-05-10,1,1
2026-05-11,29,2
2026-05-12,37,3
2026-05-13,40,4
2026-05-14,14,3
2026-05-15,24,4
2026-05-16,19,1
2026-05-17,25,2
2026-05-18,67,3
2026-05-19,132,4
2026-05-20,61,3
2026-05-21,13,1
2026-05-22,30,2
2026-05-23,11,2
2026-05-24,6,1
2026-05-25,2,2
2026-05-26,30,3
2026-05-27,20,5
